#Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1880   -29  -20  -18  -27  -14  -28  -23   -7  -16  -16  -19  -21    -20 ***   ****  -20  -19  -17  1880
1885   -64  -29  -23  -43  -41  -49  -28  -26  -18  -18  -21   -5    -30 -32    -40  -35  -34  -19  1885
1890   -47  -47  -41  -37  -47  -27  -29  -36  -35  -22  -37  -30    -36 -36    -41  -42  -30  -32  1890
1895   -43  -42  -29  -22  -23  -24  -16  -15   -1  -10  -16  -12    -21 -22    -36  -25  -19   -9  1895
1900   -39   -8    2  -15   -6  -15   -8   -3    2    9  -13  -14     -9 -10    -24   -6   -9   -1  1900
1905   -37  -58  -24  -35  -33  -31  -24  -20  -14  -22   -8  -21    -27 -28    -42  -31  -25  -15  1905
1910   -44  -43  -47  -39  -34  -36  -31  -33  -36  -38  -57  -69    -42 -41    -47  -40  -33  -44  1910
1915   -20   -2   -9    7   -2  -14   -2  -15  -12  -22  -13  -26    -11  -9    -11   -1  -10  -15  1915
1920   -15  -23   -6  -26  -25  -32  -31  -28  -19  -28  -33  -46    -26 -25    -24  -19  -31  -27  1920
1925   -32  -33  -22  -24  -30  -33  -29  -17  -12  -17    4   10    -19 -24    -35  -25  -26   -8  1925
1930   -29  -23   -9  -24  -24  -17  -15  -10  -10   -8   14   -7    -14 -17    -35  -19  -14   -1  1930
1935   -37   12  -13  -35  -26  -22  -19  -16  -17   -7  -28  -21    -19 -18    -11  -25  -19  -17  1935
1940   -13    6   12   16    7    6   11    1   12    8   13   20      8  10     11   12    6   11  1940
1945    15    5   11   24   11    3    8   26   22   23   10   -9     12  14      9   15   12   18  1945
1950   -28  -26   -7  -20  -12   -6   -9  -18  -10  -19  -35  -19    -18 -17    -23  -13  -11  -21  1950
1955    12  -21  -35  -22  -20   -7   -7    6  -14   -5  -28  -32    -14 -13     -8  -26   -3  -15  1955
1960    -2   13  -36  -16   -8    1   -2    0    4    8  -12   18     -3  -4      3  -20    0    0  1960
1965    -8  -18  -12  -19  -15  -10  -10   -1  -14   -3   -5   -6    -10 -12    -19  -15   -7   -8  1965
1970    10   23    8   10   -5   -2   -4  -11   11    4    2  -13      3   6     20    4   -6    6  1970
1975     8    7   14    6   16   -1   -3  -21   -3  -10  -16  -17     -2  -1      1   12   -8   -9  1975
1980    30   42   29   32   34   16   29   26   21   19   29   20     27  29     40   32   24   23  1980
1985    21   -7   16   11   18   16   -2   14   15   11    9   15     11  10      3   15    9   12  1985
1990    40   40   75   54   46   37   43   29   29   42   45   41     43  43     39   59   36   39  1990
1995    50   78   44   46   28   44   48   48   34   48   44   29     45  46     55   40   47   42  1995
2000    26   58   59   59   39   43   42   42   43   29   33   30     42  43     44   52   42   35  2000
2005    72   57   69   69   65   66   65   63   77   80   75   67     69  67     60   68   65   77  2005
2010    74   79   92   87   75   64   62   65   62   72   80   49     72  73     73   85   64   71  2010
2015    82   87   91   74   79   79   73   78   82  107  101  110     87  84     83   81   77   97  2015
